Level of Study,School ranking ,School Classify,Location,Subject Classify,Language instruction,GPA,TOEIC,HSK,TOCFL,Scholarship,Activitve Certificate,Study Plan,Autobiography
Master,Top 2130,Private,North,"Business, Administration and Law ",full english ,7.8,965,,,School ,no,c,c
Bacholar,outside top 50,Private,Center,"Business, Administration and Law ",full chinese ,7,,5,4,School ,yes,c,b
Master,Top 510,National ,North ,Health and social welfare,full english ,7.2,770,,,School ,no,c,b
Master,Top 1120,National ,North,Socail sciences,full english ,8.66,990,,,School ,yes,a,b
Master,Top 1120,National ,North,Natural sciences and technology ,English and Chinese,9,800,,,Government,no,c,c
Ph D,Top 510,Private,South,Natural sciences and technology ,full english ,7.9,725,,,School ,yes,c,c
Master,Top 1120,National ,North,"Business, Administration and Law ",full english ,8.5,900,,,School ,yes,c,c
Master,Top 3150 ,Private,North,Natural sciences and technology ,full english ,8.47,765,,,School ,yes,b,c
Bacholar,outside top 50,Private,North,"Business, Administration and Law ",full english ,6.5,530,,,No Scholarship ,no,b,a
Bacholar,Top 1120,National ,North,Socail sciences,full chinese ,5,,,3,No Scholarship ,yes,a,b
Master,Top 2130,Private,North,Socail sciences,full chinese ,8.4,,5,5,School ,no,b,b
Ph D,Top 4,National ,South,Natural sciences and technology ,full english ,9,600,,,School ,no,a,a
Ph D,Top 4,National ,North,Natural sciences and technology ,English and Chinese,9,485,,,School ,no,c,c
Master,Top 2130,Private,North,"Business, Administration and Law ",full english ,7,775,,,School ,yes,b,b
Bacholar,Top 1120,National ,North,Natural sciences and technology ,full english ,8.3,750,,,Government,yes,b,b
"Bacholar, Master",Top 2130,Private,North,Socail sciences,full english ,8.1,750,,,School ,yes,c,c
Master,Top 3150 ,Private,North,Natural sciences and technology ,full english ,7.6,750,,,School ,yes,c,c
Bacholar,outside top 50,Private,North,"Business, Administration and Law ",English and Chinese,6,,,2,No Scholarship ,no,b,b
Master,Top 1120,National ,South,Natural sciences and technology ,English and Chinese,8,750,,3,School ,yes,c,c
Bacholar,Top 2130,Private,Center,Socail sciences,English and Chinese,7.9,500,,3,School ,no,b,a
Master,Top 2130,Private,North,Socail sciences,full chinese ,9,,,6,School ,yes,c,c
Bacholar,outside top 50,Private,South,Socail sciences,full chinese ,7.3,520,4,2,School ,no,b,b
"Master, Ph D",Top 3150 ,National ,Center,Natural sciences and technology ,English and Chinese,8.2,600,,,School ,yes,c,d
Master,Top 4,National ,South,"Business, Administration and Law ",English and Chinese,8.4,680,,5,School ,yes,c,c
Master,Top 1120,National ,North,"Business, Administration and Law ",full chinese ,7,,,3,School ,no,a,a
Master,Top 4,National ,North,Natural sciences and technology ,English and Chinese,9,775,,5,School ,yes,c,c
Master,Top 4,National ,South,"Business, Administration and Law ",full english ,7.79,800,,,School ,no,c,c
Master,Top 3150 ,National ,North,"Business, Administration and Law ",full chinese ,8.6,,,4,School ,no,c,c
Master,Top 4,National ,South,"Business, Administration and Law ",full english ,7.19,785,5,3,School ,yes,c,c
Bacholar,outside top 50,Private,North,Natural sciences and technology ,English and Chinese,7.9,,,4,School ,yes,c,c
Master,Top 2130,Private,North,"Business, Administration and Law ",full chinese ,8,250,,3,School ,Có,c,c
Bacholar,Top 3150 ,National ,Center,"Business, Administration and Law ",full chinese ,8,,,3,School ,no,c,c
Bacholar,Top 3150 ,Private,North,"Business, Administration and Law ",English and Chinese,8.3,650,,3,School ,no,c,b
Master,Top 510,Private,South,"Business, Administration and Law ",full english ,8.5,805,,,School ,no,b,b
Ph D,Top 2130,Private,North,Natural sciences and technology ,English and Chinese,7.6,905,,,School ,no,c,c
Master,Top 2130,Private,North,Natural sciences and technology ,full english ,7.5,875,,,School ,yes,c,c
Master,Top 1120,National ,North,Natural sciences and technology ,full english ,8.4,750,,,School ,yes,b,c
Master,Top 1120,National ,North,"Business, Administration and Law ",full english ,8,800,,,School ,yes,c,b
Master,Top 1120,National ,Center,Natural sciences and technology ,full english ,7.6,670,,,School ,yes,c,c
Bacholar,outside top 50,Private,Center,"Business, Administration and Law ",full chinese ,8,450,,,School ,yes,b,b
Ph D,Top 1120,Private,North,Natural sciences and technology ,full english ,7.5,700,,,School ,yes,b,b
Master,Top 3150 ,National ,Center,Socail sciences,full chinese ,7.9,,,4,School ,no,c,c
Master,Top 1120,National ,North,Natural sciences and technology ,full english ,8.8,705,,,School ,yes,c,c
Master,Top 3150 ,Private,North,Natural sciences and technology ,full english ,7.3,820,,,School ,yes,c,b
Master,Top 3150 ,Private,North,Natural sciences and technology ,full english ,8.2,650,,,School ,yes,b,b
Bacholar,Top 1120,Private,Center,"Business, Administration and Law ",English and Chinese,9,720,,1,School ,no,c,c
Master,Top 1120,National ,Center,"Business, Administration and Law ",full english ,8.3,850,,,School ,yes,c,c
Master,Top 1120,National ,South,"Business, Administration and Law ",full english ,8.03,650,,,School ,no,b,b
Bacholar,Top 1120,National ,North,Natural sciences and technology ,English and Chinese,9,950,,4,Government,no,b,b
Master,Top 4,National ,South,"Business, Administration and Law ",English and Chinese,8.3,950,,,School ,yes,c,c
Master,Top 510,Private,South,"Business, Administration and Law ",full english ,7.6,800,,,School ,yes,b,c
Master,Top 4,National ,South,"Business, Administration and Law ",full english ,9.1,900,,,School ,yes,c,c
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7.5,760,6,4,School ,yes,b,b
Master,Top 2130,National ,East,Socail sciences,English and Chinese,7.5,,5,4,School ,yes,b,b
Master,Top 2130,National ,East,Socail sciences,English and Chinese,8.4,,4,5,School ,yes,b,b
